SPELL_ENERGIZE,8/9 22:37:05.909  SPELL_ENERGIZE,Player-3674-0B245903,Hobroken-TwistingNether,0x514,0x0,Player-3674-0B245903,Hobroken-TwistingNether,0x514,0x0,377427,Throes of Pain,0x20,Player-3674-0B245903,0000000000000000,722276,777588,1473,13176,2426,0,13,1600,10000,0,2475.21,2492.28,2169,3.0980,447,2.0000,0.0000,13,10000,
SWING_MISSED,8/9 22:37:05.576  SWING_MISSED,Player-3674-0AB08269,Asukakazama-TwistingNether,0x514,0x0,Creature-0-4245-2569-6980-201668-000053F707,Neltharion,0x10a48,0x0,MISS,nil,
SPELL_AURA_REFRESH,8/9 22:37:05.886  SPELL_AURA_REFRESH,Player-3674-0A5EBCBF,Jonasrogue-TwistingNether,0x514,0x0,Creature-0-4245-2569-6980-201668-000053F707,Neltharion,0x10a48,0x0,392388,Atrophic Poison,0x8,DEBUFF,
SPELL_CAST_FAILED,8/9 22:36:36.981  SPELL_CAST_FAILED,Player-3674-0B239E37,Maize-TwistingNether,0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,107428,Rising Sun Kick,0x1,Not yet recovered,
SPELL_AURA_REMOVED_DOSE,8/9 22:37:05.875  SPELL_AURA_REMOVED_DOSE,Player-3674-0B2579E2,Pnz-TwistingNether,0x512,0x0,Player-3674-0B2579E2,Pnz-TwistingNether,0x512,0x0,409964,Flame's Fury,0x1,BUFF,1,
ENCOUNTER_START,/9 22:30:08.346  ENCOUNTER_START,2684,Echo of Neltharion,16,20,2569,
ENCOUNTER_END,8/9 22:37:06.222  ENCOUNTER_END,2684,Echo of Neltharion,16,20,1,417630,
EMOTE,8/9 22:36:34.709  EMOTE,Creature-0-4245-2569-6980-201668-000053F707,Neltharion,Player-3674-0B239E37,Maize,|TInterface\ICONS\INV_Misc_Head_Dragon_Black_Nightmare.BLP:20|t Neltharion begins casting |cFFFF0000|Hspell:407917|h[Ebon Destruction]|h|r,
SPELL_EXTRA_ATTACKS,8/9 22:37:03.967  SPELL_EXTRA_ATTACKS,Player-3674-0AB08269,Asukakazama-TwistingNether,0x514,0x0,Player-3674-0AB08269,Asukakazama-TwistingNether,0x514,0x0,327941,Windfury Totem,0x1,1,
SWING_DAMAGE,8/9 22:37:05.886  SWING_DAMAGE,Player-3674-0A5EBCBF,Jonasrogue-TwistingNether,0x514,0x0,Creature-0-4245-2569-6980-201668-000053F707,Neltharion,0x10a48,0x0,Player-3674-0A5EBCBF,0000000000000000,562420,562420,11221,1494,3893,39522,3,136,150,0,2442.89,2499.28,2169,6.2032,443,4320,5347,-1,1,0,0,0,nil,nil,nil,
SPELL_AURA_BROKEN_SPELL,8/9 22:36:37.089  SPELL_AURA_BROKEN_SPELL,Creature-0-4245-2569-6980-198757-000053F8CC,Void Lasher,0x2114,0x0,Creature-0-4245-2569-6980-202814-000053F8C1,Twisted Aberration,0xa48,0x0,197214,Sundering,0x5,394979,Mind Sear,32,DEBUFF,
SPELL_CREATE,8/9 22:31:37.951  SPELL_CREATE,Player-3674-0B120CCA,Rylux-TwistingNether,0x514,0x0,GameObject-0-4245-2569-6980-191083-000053F7AA,Demonic Circle: Summon,0x4228,0x0,48018,Demonic Circle,0x20,
SPELL_CAST_SUCCESS,8/9 22:37:05.886  SPELL_CAST_SUCCESS,Creature-0-4245-2569-6980-201668-000053F707,Neltharion,0x10a48,0x0,0000000000000000,nil,0x80000000,0x80000000,412472,[DNT] Cover Death Transformation,0x1,Creature-0-4245-2569-6980-201668-000053F707,0000000000000000,388,604869720,0,0,5043,0,3,100,100,0,2447.37,2493.50,2169,4.4362,73,
SPELL_HEAL,8/9 22:37:05.810  SPELL_HEAL,Player-3674-0B0D3386,Cordsen-TwistingNether,0x40512,0x0,Player-3674-0B0D3386,Cordsen-TwistingNether,0x40512,0x0,408400,Heartfire,0x6,Player-3674-0B0D3386,0000000000000000,928100,928100,20140,2283,41355,0,0,250000,250000,0,2505.79,2484.83,2169,3.2282,447,1633,1633,1633,0,nil,
SPELL_CAST_START,8/9 22:37:05.436  SPELL_CAST_START,Player-3674-0A52441F,Weisz-TwistingNether,0x514,0x0,0000000000000000,nil,0x80000000,0x80000000,19750,Flash of Light,0x2,
SPELL_SUMMON,8/9 22:37:05.239  SPELL_SUMMON,Player-3674-0B245903,Hobroken-TwistingNether,0x514,0x0,Creature-0-4245-2569-6980-198757-000053F8F1,Void Lasher,0xa28,0x0,377357,Idol of C'Thun,0x1,
SWING_DAMAGE_LANDED,8/9 22:37:05.886  SWING_DAMAGE_LANDED,Player-3674-0A5EBCBF,Jonasrogue-TwistingNether,0x514,0x0,Creature-0-4245-2569-6980-201668-000053F707,Neltharion,0x10a48,0x0,Creature-0-4245-2569-6980-201668-000053F707,0000000000000000,388,604869720,0,0,5043,0,3,100,100,0,2447.37,2493.50,2169,4.4362,73,4320,5347,-1,1,0,0,0,nil,nil,nil,
SPELL_EMPOWER_END,8/9 22:36:58.264  SPELL_EMPOWER_END,Player-3674-0B0A5023,Kelmevoker-TwistingNether,0x514,0x0,0000000000000000,nil,0x80000000,0x80000000,382731,Spiritbloom,0x8,4,
